code,local_code,name,iso_country
CZ-KA,KA,Carlsbad Region,CZ
CZ-KR,KR,Hradec Králové Region,CZ
CZ-LI,LI,Liberec Region,CZ
CZ-MO,MO,Moravian-Silesian Region,CZ
CZ-OL,OL,Olomouc Region,CZ
CZ-PA,PA,Pardubice Region,CZ
CZ-PL,PL,Plzeň Region,CZ
CZ-PR,PR,Prague (capital city),CZ
CZ-ST,ST,Central Bohemian Region,CZ
CZ-US,US,Ústí nad Labem Region,CZ
CZ-VY,VY,Vysočina Region,CZ
CZ-ZL,ZL,Zlín Region,CZ
DE-BE,BE,Berlin,DE
DE-BR,BR,Brandenburg,DE
DE-BW,BW,Baden-Württemberg,DE
DE-BY,BY,Bavaria,DE
DE-HB,HB,Bremen,DE
DE-HE,HE,Hesse,DE
DE-HH,HH,Hamburg,DE
DE-MV,MV,Mecklenburg-Vorpommern,DE
DE-NI,NI,Lower Saxony,DE
DE-NW,NW,North Rhine-Westphalia,DE
DE-RP,RP,Rhineland-Palatinate,DE
DE-SH,SH,Schleswig-Holstein,DE
DE-SL,SL,Saarland,DE
DE-SN,SN,Saxony,DE
DE-ST,ST,Saxony-Anhalt,DE
DE-TH,TH,Thuringia,DE
DJ-AR,AR,Arta Region,DJ
DJ-AS,AS,Ali Sabiah Region,DJ
DJ-DI,DI,Dikhil Region,DJ
DJ-DJ,DJ,Djibouti Region,DJ
DJ-OB,OB,Obock Region,DJ
DJ-TA,TA,Tadjoura Region,DJ
DK-81,81,North Jutland,DK
DK-82,82,Central Jutland,DK
DK-83,83,South Denmark,DK
DK-84,84,Capital Region,DK
DK-85,85,Zealand,DK
DK-XX,XX,*Offshore Oil Platforms,DK
DM-02,2,Saint Andrew Parish,DM
DM-03,3,Saint David Parish,DM
DM-04,4,Saint George Parish,DM
DM-05,5,Saint John Parish,DM
DM-06,6,Saint Joseph Parish,DM
DM-07,7,Saint Luke Parish,DM
DM-08,8,Saint Mark Parish,DM
DM-09,9,Saint Patrick Parish,DM
DM-10,10,Saint Paul Parish,DM
DM-11,11,Saint Peter Parish,DM
DO-01,1,Distrito Nacional,DO
DO-02,2,Azua Province,DO
DO-03,3,Baoruco Province,DO
DO-04,4,Barahona Province,DO
DO-05,5,Dajabón Province,DO
DO-06,6,Duarte Province,DO
DO-07,7,Elías Piña Province,DO
DO-08,8,El Seybo Province,DO
DO-09,9,Espaillat Province,DO
DO-10,10,Independencia Province,DO
DO-11,11,La Altagracia Province,DO
DO-12,12,La Romana Province,DO
DO-13,13,La Vega Province,DO
DO-14,14,María Trinidad Sánchez Province,DO
DO-15,15,Monte Cristi Province,DO
DO-16,16,Pedernales Province,DO
DO-17,17,Peravia Province,DO
DO-18,18,Puerto Plata Province,DO
DO-19,19,Hermanas Mirabal Province,DO
DO-20,20,Samaná Province,DO
DO-21,21,San Cristóbal Province,DO
DO-22,22,San Juan Province,DO
DO-23,23,San Pedro de Macorís Province,DO
DO-24,24,Sánchez Ramírez Province,DO
DO-25,25,Santiago de los Caballeros Province,DO
DO-26,26,Santiago Rodríguez Province,DO
DO-27,27,Valverde Province,DO
DO-28,28,Monseñor Nouel Province,DO
DO-29,29,Monte Plata Province,DO
DO-30,30,Hato Mayor Province,DO
DZ-01,1,Adrar Province,DZ
DZ-02,2,Chlef Province,DZ
DZ-03,3,Laghouat Province,DZ
DZ-04,4,Oum el Bouaghi Province,DZ
DZ-05,5,Batna Province,DZ
DZ-06,6,Béjaïa Province,DZ
DZ-07,7,Biskra Province,DZ
DZ-08,8,Béchar Province,DZ
DZ-09,9,Blida Province,DZ
DZ-10,10,Bouira Province,DZ
DZ-11,11,Tamanghasset Province,DZ
DZ-12,12,Tébessa Province,DZ
DZ-13,13,Tlemcen Province,DZ
DZ-14,14,Tiaret Province,DZ
DZ-15,15,Tizi Ouzou Province,DZ
DZ-16,16,Algiers Province,DZ
DZ-17,17,Djelfa Province,DZ
DZ-18,18,Jijel Province,DZ
DZ-19,19,Sétif Province,DZ
DZ-20,20,Saïda Province,DZ
DZ-21,21,Skikda Province,DZ
DZ-22,22,Sidi Bel Abbes Province,DZ
DZ-23,23,Annaba Province,DZ
DZ-24,24,Guelma Province,DZ
DZ-25,25,Constantine Province,DZ
DZ-26,26,Médéa Province,DZ
DZ-27,27,Mostaganem Province,DZ
DZ-28,28,M'Sila Province,DZ
DZ-29,29,Mascara Province,DZ
DZ-30,30,Ouargla Province,DZ
DZ-31,31,Oran Province,DZ
DZ-32,32,El Bayadh Province,DZ
DZ-33,33,Illizi Province,DZ
DZ-34,34,Bordj Bou Arréridj Province,DZ
DZ-35,35,Boumerdès Province,DZ
DZ-36,36,El Tarf Province,DZ
DZ-37,37,Tindouf Province,DZ
DZ-38,38,Tissemsilt Province,DZ
DZ-39,39,El Oued Province,DZ
DZ-40,40,Khenchela Province,DZ
DZ-41,41,Souk Ahras Province,DZ
DZ-42,42,Tipaza Province,DZ
DZ-43,43,Mila Province,DZ
DZ-44,44,Aïn Defla Province,DZ
DZ-45,45,Naama Province,DZ
DZ-46,46,Aïn Témouchent Province,DZ
DZ-47,47,Ghardaïa Province,DZ
DZ-48,48,Relizane Province,DZ
EC-A,A,Azuay Province,EC
EC-B,B,Bolivar Province,EC
EC-C,C,Carchi Province,EC
EC-D,D,Orellana Province,EC
EC-E,E,Esmeraldas Province,EC
EC-F,F,Canar Province,EC
EC-G,G,Guayas Province,EC
EC-H,H,Chimborazo Province,EC
EC-I,I,Imbabura Province,EC
EC-L,L,Loja Province,EC
EC-M,M,Manabi Province,EC
EC-N,N,Napo Province,EC
EC-O,O,El Oro Province,EC
EC-P,P,Pichincha Province,EC
EC-R,R,Los Rios Province,EC
EC-S,S,Morona-Santiago Province,EC
EC-T,T,Tungurahua Province,EC
EC-U,U,Sucumbios Province,EC
EC-W,W,Galapagos Province,EC
EC-X,X,Cotopaxi Province,EC
EC-Y,Y,Pastaza Province,EC
EC-Z,Z,Zamora-Chinchipe Province,EC
EE-37,37,Harju County,EE
EE-39,39,Hiiu County,EE
EE-44,44,Ida-Viru County,EE
EE-49,49,Jõgeva County,EE
EE-51,51,Järva County,EE
EE-57,57,Lääne County,EE
EE-59,59,Lääne-Viru County,EE
EE-65,65,Põlva County,EE
EE-67,67,Pärnu County,EE
EE-70,70,Rapla County,EE
EE-74,74,Saare County,EE
EE-7B,7B,Tartu County,EE
EE-82,82,Valga County,EE
EE-84,84,Viljandi County,EE
EE-86,86,Võru County,EE
EG-ALX,ALX,Alexandria Governorate,EG
EG-ASN,ASN,Aswan Governorate,EG
EG-AST,AST,Asyut Governorate,EG
EG-BA,BA,Red Sea Governorate,EG
EG-BH,BH,Beheira Governorate,EG
EG-BNS,BNS,Beni Suef Governorate,EG
EG-C,C,Cairo Governorate,EG
EG-DK,DK,Dakahlia Governorate,EG
EG-DT,DT,Damietta Governorate,EG
EG-FYM,FYM,Faiyum Governorate,EG
EG-GH,GH,Gharbia Governorate,EG
EG-GZ,GZ,Giza Governorate,EG
EG-IS,IS,Ismailia Governorate,EG
EG-JS,JS,South Sinai Governorate,EG
EG-KB,KB,Qalyubia Governorate,EG
EG-KFS,KFS,Kafr el-Sheikh Governorate,EG
EG-KN,KN,Qena Governorate,EG
EG-MN,MN,Minya Governorate,EG
EG-MNF,MNF,Monufia Governorate,EG
EG-MT,MT,Matruh Governorate,EG
EG-PTS,PTS,Port Said Governorate,EG
EG-SHG,SHG,Sohag Governorate,EG
EG-SHR,SHR,Sharqia Governorate,EG
EG-SIN,SIN,North Sinai Governorate,EG
EG-SUZ,SUZ,Suez Governorate,EG
EG-WAD,WAD,New Valley Governorate,EG
ER-AN,AN,Anseba Region,ER
ER-DK,DK,Southern Red Sea Region,ER
ER-DU,DU,Southern Region,ER
ER-GB,GB,Gash-Barka Region,ER
ER-MA,MA,Central Region,ER
ER-SK,SK,Northern Red Sea Region,ER
ES-A,A,Alicante,ES
ES-AB,AB,Albacete,ES
ES-AL,AL,Almería,ES
ES-AN,AN,Andalucía,ES
ES-AR,AR,Aragón,ES
ES-AV,AV,Ávila,ES
ES-B,B,Barcelona,ES
ES-BA,BA,Badajoz,ES
ES-BI,BI,Vizcaya,ES
ES-BU,BU,Burgos,ES
ES-C,C,La Coruña,ES
ES-CA,CA,Cádiz,ES
ES-CC,CC,Cáceres,ES
ES-CE,CE,Ceuta,ES
ES-CL,CL,Castilla y León,ES
ES-CM,CM,Castilla-La Mancha,ES
ES-CN,CN,Canary Islands,ES
ES-CR,CR,Ciudad Real,ES
ES-CS,CS,Castellón,ES
ES-CT,CT,Catalonia,ES
ES-CU,CU,Cuenca,ES
ES-EX,EX,Extremadura,ES
ES-GA,GA,Galicia,ES
ES-GC,GC,Las Palmas,ES
ES-GE,GE,Girona,ES
ES-GR,GR,Granada,ES
ES-GU,GU,Guadalajara,ES
ES-H,H,Huelva,ES
ES-HU,HU,Huesca,ES
ES-IB,IB,Baleares,ES
ES-J,J,Jaén,ES
ES-L,L,Lleida,ES
ES-LE,LE,León,ES
ES-LO,LO,La Rioja,ES
ES-LU,LU,Lugo,ES
ES-M,M,Madrid,ES
ES-MA,MA,Málaga,ES
ES-ML,ML,Melilla,ES
ES-MU,MU,Murcia,ES
ES-NA,NA,Navarra,ES
ES-O,O,Asturias,ES
ES-OR,OR,Ourense,ES
ES-P,P,Palencia,ES
ES-PM,PM,Baleares,ES
ES-PO,PO,Pontevedra,ES
ES-PV,PV,Basque Country,ES
ES-S,S,Cantabria,ES
ES-SA,SA,Salamanca,ES
ES-SE,SE,Sevilla,ES
ES-SG,SG,Segovia,ES
ES-SO,SO,Soria,ES
ES-SS,SS,Guipúzcoa,ES
ES-T,T,Tarragona,ES
ES-TE,TE,Teruel,ES
ES-TF,TF,Santa Cruz de Tenerife,ES
ES-V,V,Valencia,ES
ES-VA,VA,Valladolid,ES
ES-VI,VI,Álava,ES
ES-Z,Z,Zaragoza,ES
ES-ZA,ZA,Zamora,ES
ET-AA,AA,Addis Ababa,ET
ET-AF,AF,Afar Region,ET
ET-AM,AM,Amhara Region,ET
ET-BE,BE,Benishangul-Gumuz Region,ET
ET-DD,DD,Dire Dawa,ET
ET-GA,GA,Gambela Region,ET
ET-HA,HA,Harari Region,ET
ET-OR,OR,Oromia Region,ET
ET-SN,SN,"Southern Nations, Nationalities, and Peoples' Region",ET
ET-SO,SO,Somali Region,ET
ET-TI,TI,Tigray Region,ET
ET-XSD,XSD,Sidama Region,ET
FI-01,1,Åland Islands Region,FI
FI-02,2,South Karelia Region,FI
FI-03,3,South Ostrobothnia Region,FI
FI-04,4,Southern Savonia Region,FI
FI-05,5,Kainuu Region,FI
FI-06,6,Kanta-Häme Region,FI
FI-07,7,Central Ostrobothnia Region,FI
FI-08,8,Central Finland Region,FI
FI-09,9,Kymenlaakso Region,FI
FI-10,10,Lapland Region,FI
FI-11,11,Pirkanmaa Region,FI
FI-12,12,Ostrobothnia Region,FI
FI-13,13,North Karelia Region,FI
FI-14,14,North Ostrobothnia Region,FI
FI-15,15,Northern Savonia Region,FI
FI-16,16,Päijät-Häme Region,FI
FI-17,17,Satakunta Region,FI
FI-18,18,Uusimaa Region,FI
FI-19,19,Southwest Finland Region,FI
FJ-C,C,Central,FJ
FJ-E,E,Eastern,FJ
FJ-N,N,Northern,FJ
FJ-R,R,Rotuma,FJ
FJ-W,W,Western,FJ
FM-KSA,KSA,Kosrae State,FM
FM-PNI,PNI,Pohnpei State,FM
FM-TRK,TRK,Chuuk State,FM
FM-YAP,YAP,Yap State,FM
FR-ARA,ARA,Auvergne-Rhône-Alpes,FR
FR-BFC,BFC,Bourgogne-Franche-Comté,FR
FR-BRE,BRE,Brittany,FR
FR-COR,COR,Corsica,FR
FR-CVL,CVL,Centre-Val de Loire,FR
FR-GES,GES,Grand Est,FR
FR-HDF,HDF,Hauts-de-France,FR
FR-IDF,IDF,Île-de-France,FR
FR-NAQ,NAQ,Nouvelle-Aquitaine,FR
FR-NOR,NOR,Normandy,FR
FR-OCC,OCC,Occitanie,FR
FR-PAC,PAC,Provence-Alpes-Côte-d'Azur,FR
FR-PDL,PDL,Pays-de-la-Loire,FR
GA-1,1,Estuaire Province,GA
GA-2,2,Haut-Ogooué Province,GA
GA-3,3,Moyen-Ogooué Province,GA
GA-4,4,Ngounié Province,GA
GA-5,5,Nyanga Province,GA
GA-6,6,Ogooué-Ivindo Province,GA
GA-7,7,Ogooué-Lolo Province,GA
GA-8,8,Ogooué-Maritime Province,GA
GA-9,9,Woleu-Ntem Province,GA
GB-ENG,ENG,England,GB
GB-NIR,NIR,Northern Ireland,GB
GB-SCT,SCT,Scotland,GB
GB-WLS,WLS,Wales,GB
GD-AN,AN,Saint Andrew,GD
GD-DA,DA,Saint David,GD
GD-GE,GE,Saint George,GD
GD-JO,JO,Saint John,GD
GD-MA,MA,Saint Mark,GD
GD-PA,PA,Saint Patrick,GD
GE-AB,AB,Autonomous Republic of Abkhazia,GE
GE-AJ,AJ,Autonomous Republic of Adjara,GE
GE-GU,GU,Guria,GE
GE-IM,IM,Imereti,GE
GE-KA,KA,Kakheti,GE
GE-KK,KK,Kvemo Kartli,GE
GE-MM,MM,Mtskheta-Mtianeti,GE
GE-RL,RL,Racha-Lechkhumi and Kvemo Svaneti,GE
GE-SJ,SJ,Samtskhe-Javakheti,GE
GE-SK,SK,Shida Kartli,GE
GE-SZ,SZ,Samegrelo-Zemo Svaneti,GE
GE-TB,TB,Tbilisi,GE
GF-CY,CY,Cayenne,GF
GF-SL,SL,Saint-Laurent-du-Maroni,GF
GH-AA,AA,Greater Accra Region,GH
GH-AH,AH,Ashanti Region,GH
GH-BA,BA,Brong-Ahafo Region,GH
GH-CP,CP,Central Region,GH
GH-EP,EP,Eastern Region,GH
GH-NP,NP,Northern Region,GH
GH-TV,TV,Volta Region,GH
GH-UE,UE,Upper East Region,GH
GH-UW,UW,Upper West Region,GH
GH-WP,WP,Western Region,GH
GM-B,B,Banjul City,GM
GM-C,C,Central River Division,GM
GM-L,L,Lower River Division,GM
GM-N,N,North Bank Division,GM
GM-U,U,Upper River Division,GM
GM-W,W,Western Division,GM
GN-B,B,Boké Region,GN
GN-C,C,Conakry Special Zone,GN
GN-D,D,Kindia Region,GN
GN-F,F,Faranah Region,GN
GN-K,K,Kankan Region,GN
GN-L,L,Labé Region,GN
GN-M,M,Mamou Region,GN
GN-N,N,Nzérékoré Region,GN
GQ-AN,AN,Annobón Province,GQ
GQ-BN,BN,Bioko Norte Province,GQ
GQ-BS,BS,Bioko Sur Province,GQ
GQ-CS,CS,Centro Sur Province,GQ
GQ-KN,KN,Kie-Ntem Province,GQ
GQ-LI,LI,Litoral Province,GQ
GQ-WN,WN,Wele-Nzas Province,GQ
GR-03,3,Boeotia,GR
GR-04,4,Euboea,GR
GR-05,5,Evrytania,GR
GR-06,6,Phthiotis,GR
GR-07,7,Phocis,GR
GR-11,11,Argolis,GR
GR-12,12,Arcadia,GR
GR-14,14,Ilia,GR
GR-15,15,Corinthia,GR
GR-16,16,Laconia,GR
GR-17,17,Messinia,GR
GR-21,21,Zakynthos,GR
GR-22,22,Corfu,GR
GR-23,23,Kefallinia,GR
GR-24,24,Lefkada,GR
GR-31,31,Arta,GR
GR-32,32,Thesprotia,GR
GR-33,33,Ioannina,GR
GR-34,34,Preveza,GR
GR-41,41,Karditsa,GR
GR-42,42,Larissa,GR
GR-43,43,Magnesia,GR
GR-44,44,Trikala,GR
GR-51,51,Grevena,GR
GR-53,53,Imathia,GR
GR-54,54,Thessaloniki,GR
GR-56,56,Kastoria,GR
GR-57,57,Kilkis,GR
GR-58,58,Kozani,GR
GR-59,59,Pella,GR
GR-62,62,Serres,GR
GR-63,63,Florina,GR
GR-64,64,Chalcidice,GR
GR-69,69,Mount Athos,GR
GR-81,81,Dodecanese,GR
GR-82,82,Cyclades,GR
GR-83,83,Lesbos,GR
GR-84,84,Samos,GR
GR-85,85,Chios,GR
GR-91,91,Irakleion,GR
GR-92,92,Lasithion,GR
GR-93,93,Rethymnon,GR
GR-94,94,Chania,GR
GR-A,A,Eastern Macedonia and Thrace,GR
GR-G,G,Western Greece,GR
GR-I,I,Attica,GR
GT-AV,AV,Alta Verapez Department,GT
GT-BV,BV,Baja Verapez Department,GT
GT-CM,CM,Chimaltenango Department,GT
GT-CQ,CQ,Chiquimula Department,GT
GT-ES,ES,Escuintla Department,GT
GT-GU,GU,Guatemala Department,GT
GT-HU,HU,Huehuetenango Department,GT
GT-IZ,IZ,Izabal Department,GT
GT-JA,JA,Jalapa Department,GT
GT-JU,JU,Jutiapa Department,GT
GT-PE,PE,Petén Department,GT
GT-PR,PR,El Progreso Department,GT
GT-QC,QC,Quiché Department,GT
GT-QZ,QZ,Quetzaltenango Department,GT
GT-RE,RE,Retalhuleu Department,GT
GT-SA,SA,Sacatepéquez Department,GT
GT-SM,SM,San Marcos Department,GT
GT-SO,SO,Sololá Department,GT
GT-SR,SR,Santa Rosa Department,GT
GT-SU,SU,Suchitepéquez Department,GT
GT-TO,TO,Totonicap'an Department,GT
GT-ZA,ZA,Zacapa Department,GT
GW-BA,BA,Bafatá Region,GW
GW-BL,BL,Bolama Region,GW
GW-BM,BM,Biombo Region,GW
GW-BS,BS,Bissau Autonomous Sector,GW
GW-CA,CA,Cacheu Region,GW
GW-GA,GA,Gabu Region,GW
GW-OI,OI,Oio Region,GW
GW-QU,QU,Quloara Region,GW
GW-TO,TO,Tombali Region,GW
GY-BA,BA,Barima-Waini,GY
GY-CU,CU,Cuyuni-Mazaruni,GY
GY-DE,DE,Demerara-Mahaica,GY
GY-EB,EB,East Berbice-Corentyne,GY
GY-ES,ES,Essequibo Islands-West Demerara,GY
GY-MA,MA,Mahaica-Berbice,GY
GY-PM,PM,Pomeroon-Supenaam,GY
GY-PT,PT,Potaro-Siparuni,GY
GY-UD,UD,Upper Demerara-Berbice,GY
GY-UT,UT,Upper Takutu-Upper Essequibo,GY
HN-AT,AT,Atlántida Department,HN
HN-CH,CH,Choluteca Department,HN
HN-CL,CL,Colón Department,HN
HN-CM,CM,Comayagua Department,HN
HN-CP,CP,Copán Department,HN
HN-CR,CR,Cortés Department,HN
HN-EP,EP,El Paraíso Department,HN
HN-FM,FM,Francisco Morazán Department,HN
HN-GD,GD,Gracias a Dios Department,HN
HN-IB,IB,Islas de la Bahía Department,HN
HN-IN,IN,Intibucá Department,HN
HN-LE,LE,Lempira Department,HN
HN-LP,LP,La Paz Department,HN
HN-OC,OC,Ocotepeque Department,HN
HN-OL,OL,Olancho Department,HN
HN-SB,SB,Santa Bárbara Department,HN
HN-VA,VA,Valle Department,HN
HN-YO,YO,Yoro Department,HN
HR-01,1,Zagreb County,HR
HR-02,2,Krapina-Zagorje County,HR
HR-03,3,Sisak-Moslavina County,HR
HR-04,4,Karlovac County,HR
HR-05,5,Varaždin County,HR
HR-06,6,Koprivnica-Križevci County,HR
HR-07,7,Bjelovar-Bilogora County,HR
HR-08,8,Primorje-Gorski Kotar County,HR
HR-09,9,Lika-Senj County,HR
HR-10,10,Virovitica-Podravina County,HR
HR-11,11,Požega-Slavonia County,HR
HR-12,12,Brod-Posavina County,HR
HR-13,13,Zadar County,HR
HR-14,14,Osijek-Baranja County,HR
HR-15,15,Šibenik-Knin County,HR
HR-16,16,Vukovar-Srijem County,HR
HR-17,17,Split-Dalmatia County,HR
HR-18,18,Istria County,HR
HR-19,19,Dubrovnik-Neretva County,HR
HR-20,20,Međimurje County,HR
HR-21,21,Zagreb (city),HR
HT-AR,AR,Artibonite Department,HT
HT-CE,CE,Centre Department,HT
HT-GA,GA,Grande'Anse Department,HT
HT-ND,ND,Nord Department,HT
HT-NE,NE,Nord-Est Department,HT
HT-NI,NI,Nippes Department,HT
HT-NO,NO,Nord-Ouest Department,HT
HT-OU,OU,Ouest Department,HT
HT-SD,SD,Sud Department,HT
HT-SE,SE,Sud-Est Department,HT
HU-BA,BA,Baranya County,HU
HU-BC,BC,Békéscsaba (city),HU
HU-BE,BE,Békés County,HU
HU-BK,BK,Bács-Kiskun County,HU
HU-BU,BU,Budapest (capital city),HU
HU-BZ,BZ,Borsod-Abaúj-Zemplén County,HU
HU-CS,CS,Csongrád-Csanád County,HU
HU-DE,DE,Debrecen (city),HU
HU-DU,DU,Dunaújváros (city),HU
HU-EG,EG,Eger (city),HU
HU-FE,FE,Fejér County,HU
HU-GS,GS,Győr-Moson-Sopron County,HU
HU-GY,GY,Győr (city),HU
HU-HB,HB,Hajdu-Bihar County,HU
HU-HE,HE,Heves County,HU
HU-HV,HV,Hódmezővásárhely (city),HU
HU-JN,JN,Jász-Nagykun-Szolnok County,HU
HU-KE,KE,Komárom-Esztergom County,HU
HU-KM,KM,Kecskemét (city),HU
HU-KV,KV,Kaposvár (city),HU
HU-MI,MI,Miskolc (city),HU
HU-NK,NK,Nagykanizsa (city),HU
HU-NO,NO,Nógrád County,HU
HU-NY,NY,Nyiregyháza (city),HU
HU-PE,PE,Pest County,HU
HU-PS,PS,Pécs (city),HU
HU-SD,SD,Szeged (city),HU
HU-SF,SF,Székesfehérvár (city),HU
HU-SH,SH,Szombathely (city),HU
HU-SK,SK,Szolnok (city),HU
HU-SN,SN,Sopron (city),HU
HU-SO,SO,Somogy County,HU
HU-SS,SS,Szekszárd (city),HU
HU-ST,ST,Salgótarján (city),HU
HU-SZ,SZ,Szabolcs-Szatmár-Bereg County,HU
HU-TB,TB,Tatabánya (city),HU
HU-TO,TO,Tolna County,HU
HU-VA,VA,Vas County,HU
HU-VE,VE,Veszprém County,HU
HU-VM,VM,Veszprém (city),HU
HU-ZA,ZA,Zala County,HU
HU-ZE,ZE,Zalaegerszeg (city),HU
ID-AC,AC,Aceh,ID
ID-BA,BA,Bali,ID
ID-BB,BB,Bangka Belitung,ID
ID-BE,BE,Bengkulu,ID
ID-BT,BT,Banten,ID
ID-GO,GO,Gorontalo,ID
ID-JA,JA,Jambi,ID
ID-JB,JB,Jawa Barat,ID
ID-JI,JI,Jawa Timur,ID
ID-JK,JK,Jakarta Raya,ID
ID-JT,JT,Jawa Tengah,ID
ID-KB,KB,Kalimantan Barat,ID
ID-KI,KI,East Kalimantan,ID
ID-KR,KR,Kepulauan Riau,ID
ID-KS,KS,Kalimantan Selatan,ID
ID-KT,KT,Central Kalimantan,ID
ID-KU,KU,North Kalimantan,ID
ID-LA,LA,Lampung,ID
ID-MA,MA,Maluku,ID
ID-MU,MU,Maluku Utara,ID
ID-NB,NB,Nusa Tenggara Barat,ID
ID-NT,NT,Nusa Tenggara Timur,ID
ID-PA,PA,Papua,ID
ID-PB,PB,West Papua,ID
ID-RI,RI,Riau,ID
ID-SA,SA,Sulawesi Utara,ID
ID-SB,SB,Sumatra Barat,ID
ID-SG,SG,Sulawesi Tenggara,ID
ID-SN,SN,Sulawesi Selatan,ID
ID-SS,SS,Sumatra Selatan,ID
ID-ST,ST,Sulawesi Tengah,ID
ID-SU,SU,Sumatera Utara,ID
ID-YO,YO,Yogyakarta,ID
IE-C,C,County Cork,IE
IE-CE,CE,County Clare,IE
IE-CN,CN,County Cavan,IE
IE-CW,CW,County Carlow,IE
IE-D,D,County Dublin,IE
IE-DL,DL,County Donegal,IE
IE-G,G,County Galway,IE
IE-KE,KE,County Kildare,IE
IE-KK,KK,County Kilkenny,IE
IE-KY,KY,County Kerry,IE
IE-LD,LD,County Longford,IE
IE-LH,LH,County Louth,IE
IE-LK,LK,County Limerick,IE
IE-LM,LM,County Leitrim,IE
IE-LS,LS,County Laois,IE
IE-MH,MH,County Meath,IE
IE-MN,MN,County Monaghan,IE
IE-MO,MO,County Mayo,IE
IE-OY,OY,County Offaly,IE
IE-RN,RN,County Roscommon,IE
IE-SO,SO,County Sligo,IE
IE-TA,TA,County Tipperary,IE
IE-WD,WD,County Waterford,IE
IE-WH,WH,County Westmeath,IE
IE-WW,WW,County Wicklow,IE
IE-WX,WX,County Wexford,IE
IL-D,D,Southern District,IL
IL-HA,HA,Haifa District,IL
IL-JM,JM,Jerusalem District,IL
IL-M,M,Central District,IL
IL-TA,TA,Tel Aviv District,IL
IL-Z,Z,Northern District,IL
IN-AN,AN,Andaman and Nicobar Islands,IN
IN-AP,AP,Andhra Pradesh,IN
IN-AR,AR,Arunachal Pradesh,IN
IN-AS,AS,Assam,IN
IN-BR,BR,Bihar,IN
IN-CH,CH,Chandigarh,IN
IN-CT,CT,Chhattisgarh,IN
IN-DD,DD,Daman and Diu,IN
IN-DL,DL,Delhi,IN
IN-DN,DN,Dadra and Nagar Haveli,IN
IN-GA,GA,Goa,IN
IN-GJ,GJ,Gujarat,IN
IN-HP,HP,Himachal Pradesh,IN
IN-HR,HR,Haryana,IN
IN-JH,JH,Jharkhand,IN
IN-JK,JK,Jammu and Kashmir,IN
IN-KA,KA,Karnataka,IN
IN-KL,KL,Kerala,IN
IN-LD,LD,Lakshadweep,IN
IN-ML,ML,Meghalaya,IN
IN-MM,MM,Maharashtra,IN
IN-MN,MN,Manipur,IN
IN-MP,MP,Madhya Pradesh,IN
IN-MZ,MZ,Mizoram,IN
IN-NL,NL,Nagaland,IN
IN-OR,OR,Odisha,IN
IN-PB,PB,Punjab,IN
IN-PY,PY,Pondicherry,IN
IN-RJ,RJ,Rajasthan,IN
IN-SK,SK,Sikkim,IN
IN-TG,TG,Telangana,IN
IN-TN,TN,Tamil Nadu,IN
IN-TR,TR,Tripura,IN
IN-UL,UL,Uttaranchal,IN
IN-UP,UP,Uttar Pradesh,IN
IN-WB,WB,West Bengal,IN
IQ-AN,AN,Al-Anbar Governorate,IQ
IQ-AR,AR,Arbil Governorate,IQ
IQ-BA,BA,Basra Governorate,IQ
IQ-BB,BB,Babil Governorate,IQ
IQ-BG,BG,Baghdad Governorate,IQ
IQ-DA,DA,Duhok Governorate,IQ
IQ-DI,DI,Diyala Governorate,IQ
IQ-DQ,DQ,Dhi Qar Governorate,IQ
IQ-KA,KA,Karbala Governorate,IQ
IQ-MA,MA,Maysan Governorate,IQ
IQ-MU,MU,Al-Muthanna Governorate,IQ
IQ-NA,NA,Najaf Governorate,IQ
IQ-NI,NI,Ninawa Governorate,IQ
IQ-QA,QA,Al-Qadisiyyah Governorate,IQ
IQ-SD,SD,Salah ad Din Governorate,IQ
IQ-SW,SW,As-Sulaymaniyyah Governorate,IQ
IQ-TS,TS,Kirkuk Governorate,IQ
IQ-WA,WA,Wasit Governorate,IQ
IR-00,0,Markazi Province,IR
IR-01,1,Gilan Province,IR
IR-02,2,Mazandaran Province,IR
IR-03,3,East Azerbaijan Province,IR
IR-04,4,West Azerbaijan Province,IR
IR-05,5,Kermanshah Province,IR
IR-06,6,Khuzestan Province,IR
IR-07,7,Fars Province,IR
IR-08,8,Kerman Province,IR
IR-09,9,Razavi Khorasan Province,IR
IR-10,10,Esfahan Province,IR
IR-11,11,Sistan and Baluchestan Province,IR
IR-12,12,Kurdistan Province,IR
IR-13,13,Hamadan Province,IR
IR-14,14,Chaharmahal and Bakhtiari Province,IR
IR-15,15,Lorestan Province,IR
IR-16,16,Iiam Province,IR
IR-17,17,Kohgiluyeh and Boyer-Ahmad Province,IR
IR-18,18,Bushehr Province,IR
IR-19,19,Zanjan Province,IR
IR-20,20,Semnan Province,IR
IR-21,21,Yazd Province,IR
IR-22,22,Hormozgan Province,IR
IR-23,23,Tehran Province,IR
IR-24,24,Ardabil Province,IR
IR-25,25,Qom Province,IR
IR-26,26,Qazvin Province,IR
IR-27,27,Golestan Province,IR
IR-28,28,North Khorasan Province,IR
IR-29,29,South Khorasan Province,IR
IR-30,30,Alborz Province,IR
IS-1,1,Capital Region,IS
IS-2,2,Southern Peninsula,IS
IS-3,3,Western Region,IS
IS-4,4,Westfjords,IS
IS-5,5,Northwestern Region,IS
IS-6,6,Northeastern Region,IS
IS-7,7,Eastern Region,IS
